Name,Dates associated with name,Type of name,Role,Other names,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Title,Variant titles,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
"Ross, Alex",1970-,person,,"Ross, Alex, 1970- [person] ; Sadowski, Stephen [person] ; Krueger, Jim [person]",015433236,Monograph,Language material ; Text,Volume,GBA9B6004,9780785129431,Avengers/Invaders,,,,United States of America,New York,Marvel Worldwide,2010,,"1 volume (unpaged), chiefly illustrations (chiefly colour), 26 cm",741.5973,YK.2012.b.2288,"Good and evil--Comic books, strips, etc--Fiction ; Time travel--Comic books, strips, etc--Fiction ; Young adult fiction, American ; Avengers (Fictitious characters)--Comic books, strips, etc--Fiction ; Superheroes--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Novel ; Science fiction,English,'Contains material originally published in magazine form as Avengers/Invaders #1-12'--Indicia
"Ross, Alex",1970-,person,,"Ross, Alex, 1970- [person] ; Waid, Mark, 1962- [person]",007725871,Monograph,Language material ; Text,Volume,GB97Y4198,9781852868161,Kingdom come,,,,England,London,Titan,1997,,"236 pages, all colour illustrations, 26 cm",741.5973,,,Science fiction,English,
"Ross, Alex",1970-,person,,"Ross, Alex, 1970- [person] ; Waid, Mark, 1962- [person]",010761590,Monograph,Language material ; Text,Volume,GBA020359,9781840231229,The kingdom,,,,England,London,Titan,1999,,"1 volume, all colour illustrations, 26 cm",741.5973,YK.2001.b.2355,"Comic books, strips, etc ; Science fiction, American",Science fiction,English,'Based on Kingdom come by Mark Waid and Alex Ross'
"Ross, Alex",1970-,person,,"Rybandt, Joseph, editor [person] ; Ross, Alex, 1970- [person] ; Bowland, Simon [person] ; Guimarães, Alex [person] ; Gischler, Victor, 1969-, author [person] ; Castro, Roberto, illustrator [person] ; Lieberman, Arthur M., 1935- [person] ; Howard, Robert E. (Robert Ervin), 1906-1936 [person] ; Lieberman, Luke, editor [person]",017694465,Monograph,Language material ; Still image ; Text,Volume,GBB602892,9781606908211,"Red Sonja, Conan. Volume 1. Blood of a god",Blood of a god,,,United States of America,"Montana Laurel, New Jersey",Dynamite,2016,,"1 volume (unpaged), chiefly colour illustrations, 27 cm",741.5973,YKL.2017.b.2890,"Conan, (Fictitious character)--Comic books, strips, etc--Fiction ; Red Sonja, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fantasy ; Fiction,English,"This collection includes issues 1-4 of Victor Gischler and Roberto Castro's Red Sonja/Conan, complete with variant covers"
"Ross, Alex",1970-,person,artist ; author,"Ross, Alex, 1970-, artist ; author [person] ; Braithwaite, Dougie, artist [person] ; Klein, Todd [person] ; Krueger, Jim, author [person] ; Dc Comics, Inc, publisher [organisation]",018237185,Monograph,Language material ; Still image ; Text,Volume,GBB862064,,Justice. Part 1,JLA justice. Part 1,DC Comics Graphic Novel Collection,volume 29 [DC Comics Graphic Novel Collection],England,"Burbank, California",DC Comics,2016,,"1 volume (unpaged), chiefly colour illustrations, 27 cm",741.5973,YKL.2018.b.1937,,Novel ; Science fiction,English,'Eaglemoss collections.' ; 'Originally published single magazine form as Justice 1-6.'
"Ross, Alex",1970-,person,artist ; author,"Ross, Alex, 1970-, artist ; author [person] ; Herbert, Jackson, artist [person] ; Busiek, Kurt, author [person]",019049032,Monograph,Language material ; Still image ; Text,Volume,GBB8G8265,9781524107758,Kirby : Genesis definitive edition,,,,United States of America,Mount Laurel,Dynamite Entertainment,2018,,"1 volume, chiefly illustrations, 33 cm",741.5,,,Science fiction,English,
"Ross, Alex",1970-,person,artist,"Bowland, Simon [person] ; Casas, Fritz, artist [person] ; Rodi, Robert, author [person] ; Ross, Alex, 1970-, artist [person] ; Kirby, Jack [person] ; Aiala, Salvatore [person]",017912313,Monograph,Language material ; Still image ; Text,Volume,GBB691374,9781524100322,Kirby: Genesis. Dragonsbane,Dragonsbane,,,United States of America,"Mount Laurel, New Jersey",Dynamite Entertainment,2016,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2017.b.5378,Graphic novels,Fantasy,English,'Contains materials originally published in Kirby: Genesis - Dragonsbane #1-4.' ; 'Rated T+ suggested for teens and up'--Back cover
"Ross, Alex",1970-,person,artist,"Dini, Paul, author [person] ; Ross, Alex, 1970-, artist [person]",019243085,Monograph,Language material ; Still image ; Text,Volume,GBB923679,9781401288228,Shazam! : power of hope,,,,United States of America,"Burbank, California",DC Comics,2019,Deluxe edition,"1 volume, chiefly illustrations, 35 cm",741.5,,"Captain Marvel, (Fictitious character from Marvel Comics Group)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Ross, Alex",1970-,person,artist,"Fortier, Ron, author [person] ; Ross, Alex, 1970-, artist [person]",016516157,Monograph,Language material ; Still image ; Text,Volume,GBB393181,9781616552770,The burning earth,,The Terminator,,United States of America,"Milwaukie, Oregon",Dark Horse,2013,First edition,"1 volume, chiefly colour illustrations, 28 cm",741.5,,,Science fiction,English,
"Ross, Alex",1970-,person,artist,"Kreuger, Jim, author [person] ; Ross, Alex, 1970-, artist [person]",019799329,Monograph,Language material ; Still image ; Text,Volume,GBC060448,9781302921514,Marvels X,,,,United States of America,New York,Marvel Worldwide,2020,,"1 volume, chiefly illustrations, 26 cm",741.5,,,Science fiction,English,
"Ross, Alex",1970-,person,artist,"Ross, Alex, 1970-, artist [person] ; Waid, Mark, 1962-, author [person]",019007879,Monograph,Language material ; Still image ; Text,Volume,GBB8E5837,9781401284626,Kingdom come,,,,United States of America,"Burbank, California",DC Comics,2018,New edition,"1 volume, chiefly colour illustrations, 26 cm",741.5,,,Science fiction,English,
"Ross, Alex",1970-,person,artist,"Ross, Alex, 1970-, artist [person] ; Waid, Mark, 1962-, author [person]",019243114,Monograph,Language material ; Still image ; Text,Volume,GBB923708,9781401290962,Kingdom come,,,,United States of America,New York,DC Black Label,2019,,"1 volume, chiefly illustrations, 26 cm",741.5,,,Science fiction,English,
"Ross, Alex",1970-,person,author ; illustrator,"Hasen, Irwin, 1918-2015, illustrator [person] ; Greene, Sid, 1906-1972, illustrator [person] ; DeZuniga, Tony, illustrator [person] ; Rosado, William, illustrator [person] ; Broome, John, 1913-1999, author [person] ; Jones, Arvell, illustrator [person] ; Scott, Trevor, artist ; illustrator [person] ; Giacoia, Frank, illustrator [person] ; Strazewski, Len, author [person] ; Thomas, Roy, 1940-, author [person] ; O'Neil, Dennis, 1939-2020, author [person] ; Dillin, Dick, 1928-1980, illustrator [person] ; Buckler, Rich, illustrator [person] ; Staton, Joe, illustrator [person] ; Sekowsky, Mike, illustrator [person] ; Ross, Alex, 1970-, author ; illustrator [person] ; Levitz, Paul, author [person] ; Sadowski, Stephen, illustrator [person] ; Ordway, Jerry, illustrator [person] ; Dell, John, artist ; illustrator [person] ; Scott, Nicola, illustrator [person] ; Bair, Michael, illustrator [person] ; Robinson, James, 1963-, author [person] ; Kryssing, Ray, illustrator [person] ; Fox, Gardner F. (Gardner Francis), 1911-1986, author [person] ; Parobeck, Mike, illustrator [person] ; Machlan, Mike, illustrator [person] ; Giordano, Dick, illustrator [person] ; Sachs, Bernard, illustrator [person] ; Kanigher, Robert, author [person] ; Johns, Geoff, 1973-, author [person] ; Goyer, David S., author [person] ; Giella, Joe, illustrator [person] ; Hibbard, E. E. (Everett E.), 1909-, illustrator [person]",017154446,Monograph,Language material ; Still image ; Text,Volume,GBB545636,9781401255312,Justice Society of America : a celebration of 75 years,"All-star squadron ; Cris on Earth-One! ; Crisis on Earth-Two! ; End times ; For America and Democracy! ; JSA no more? ; Peril of the paired planets ; The Injustice Society of the World! ; The JSA returns, Conclusion: time's arrow ; The bridge between Earths! ; The defeat of the Justice Society! ; The first case of the Justice Society of America ; The man who conquered the solar system! ; The most dangerous Earth of all ; The return of Hawkman: seven devils ; What a wonderful world ; Where valor fails...will magic triumph?",,,United States of America,"Burbank, California",DC Comics,2015,,"476 pages, chiefly colour illustrations, 27 cm",741.5973,YKL.2016.b.1656,"Good and evil ; Superheroes ; Science fiction comic books, strips, etc ; Justice Society of America (Fictitious characters)",Comic or graphic novel ; Novel ; Science fiction,English,"'Originally published in single magazine form in All-star comics 4, 37, 55; Justice League of America 21, 22, 30, 47, 82, 83, 193; Adventure comics 466; All-star squadron 67; Justice Society of America 10; JSA returns: all-star comics 2; JSA 25; Justice Society of America 10; Earth 2 6'--Title page verso"
"Ross, Alex",1970-,person,author ; illustrator,"Krueger, Jim, author [person] ; Ross, Alex, 1970-, author ; illustrator [person] ; Braithwaite, Dougie, illustrator [person]",018283660,Monograph,Language material ; Text,Volume,GBB877953,,Justice. Part 2,JLA,DC Comics graphic novel collection ; Eaglemoss collections,volume 30 [DC Comics graphic novel collection],United States of America,"Burbank, California",DC Comics,2016,,"1 volume (unpaged), chiefly colour illustrations, 27 cm",741.5973,YKL.2018.b.2288,,Science fiction,English,
"Ross, Alex",1970-,person,author,"Andrade, Vinicius [person] ; Kelleher, Mike [person] ; Bowland, Simon [person] ; Lau, Jonathan, illustrator [person] ; Morisi, Pete, 1928-2003, author ; illustrator [person] ; Ross, Alex, 1970-, author [person] ; Darnall, Steve, author [person]",017010385,Monograph,Language material ; Still image ; Text,Volume,GBB505517,9781606905883,"Peter Cannon, Thunderbolt. Omnibus 1",Thunderbolt,,,United States of America,"Mt Laurel, New Jersey",Dynamite,2015,,"1 volume, chiefly colour illustrations, 26 cm",741.5973,YKL.2017.b.332,"Thunderbolt, (Fictitious character) ; Science fiction comic books, strips, etc",Science fiction,English,Contains materials originally published in Peter Cannon: Thunderbolt #1-10
"Ross, Alex",1970-,person,author,"Krueger, Jim, author [person] ; Leon, John Paul, artist [person] ; Ross, Alex, 1970-, author [person]",019647892,Monograph,Language material ; Still image ; Text,Volume,GBB9K1652,9781302924591,Earth X,,,,United States of America,New York,Marvel Worldwide,2020,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,,Science fiction,English,
"Ross, Alex",1970-,person,author,"Krueger, Jim, author [person] ; Ross, Alex, 1970-, author [person] ; Well-Bee, artist [person]",019867278,Monograph,Language material ; Still image ; Text,Volume,GBC0A1118,9781846532672,Marvels X,,,,England,Tunbridge Wells,Panini Publishing,2020,,"1 volume, chiefly illustrations, 26 cm",741.5,,,Science fiction,English,
"Ross, Dave",,person,artist,"Armstrong, Kelley [person] ; Ross, Dave, artist [person]",015297193,Monograph,Language material ; Text,Volume,GBA962267,9781600105166,Angel. Volume 5. Aftermath,Aftermath,,,United States of America,"San Diego, California",,2009,,"1 volume (unpaged), chiefly colour illustrations, 27 cm",741.5973,YK.2010.b.1637,"Angel, (Fictitious character from Whedon)--Comic books, strips, etc",Comic or graphic novel ; Horror ; Novel ; Young adult fiction,English,'Originally published as Angel issues #18-22'--T.p. verso ; The volume numbering continues the Angel: after the fall series
"Ross, Dave",,person,artist,"Brisson, Ed, author [person] ; Ross, Dave, artist [person] ; Freeman, George, 1951-, artist [person]",020162702,Monograph,Language material ; Still image ; Text,Volume,GBC159549,9780995009820,Time chase,,All-new classic Captain Canuck,,Canada,Toronto,Lev Gleason,2021,,"1 volume, chiefly illustrations, 26 cm",741.5,,,Science fiction,English,
"Ross, Dave",,person,artist,"Dallocchio, Federico, artist [person] ; Way, Daniel, 1974-, author [person] ; Ross, Dave, artist [person] ; Aragón, Alejandro, artist [person] ; Coker, Tomm, artist [person]",016684146,Monograph,Language material ; Still image ; Text,Volume,GBB439162,9781616552725,EVE : true stories,,,,United States of America,Milwaukie,Dark Horse,2014,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,,Science fiction,English,
"Ross, Dave",,person,artist,"Freed, Alexander [person] ; McKenna, Mark, 1957- [person] ; Daza, David [person] ; Ross, Dave, artist [person] ; Heisler, Michael [person] ; Freeman, George, 1951- [person] ; Atiyeh, Michael [person]",015986408,Monograph,Language material ; Text,Volume,GBB1D9553,9780857689450,The lost suns,,Star Wars--the Old Republic,volume 3 [Star Wars--the Old Republic],England,London,Titan,2012,,"approximately 120 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2012.b.4118,,Comic or graphic novel ; Science fiction,English,"'Based on the video game by BioWare and LucasArts'--Cover ; 'This volume collects issues #1 through #5 of the series Star Wars: The Old Republic-The Lost Sunday, published by Dark Horse Comics'--T.p. verso"
"Ross, Dave",,person,artist,"Michelinie, David, author [person] ; Ross, Dave, artist [person] ; Layton, Bob, author [person]",016472446,Monograph,Language material ; Still image ; Text,Volume,GBB371461,9780785151647,Amored vengeance,,Iron Man,,United States of America,New York,Marvel,2013,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Iron Man, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Ross, Dave",,person,artist,"Ross, Dave, artist [person] ; Kubert, Andy [person] ; Harras, Bob [person]",015899358,Monograph,Language material ; Text,Volume,GBB1B3159,9780785161271,Bloodties,,Avengers/X-men,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,,"1 volume, chiefly colour illustrations, 26 cm",741.5,,"Avengers (Fictitious characters)--Comic books, strips, etc--Fiction ; X-Men (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Ross, Dave",,person,artist,"Thomas, Dann, author [person] ; Ross, Dave, artist [person] ; Thomas, Roy, 1940-, author [person]",017652251,Monograph,Language material ; Still image ; Text,Volume,GBB5H3978,9780785196891,The death of Mockingbird,,Avengers,,United States of America,New York,Marvel Worldwide,2016,,"1 volume, chiefly illustrations, 26 cm",741.5,,"Avengers (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Ross, Dave",,person,artist,"Wheatley, Doug, artist [person] ; Ross, Dave, artist [person] ; Stradley, Randy, 1956-, illustrator [person]",017532095,Monograph,Language material ; Still image ; Text,Volume,GBB5B9893,9780785197249,The empire. Volume 2,,Star Wars epic collection,,United States of America,New York,Marvel Worldwide,2015,,"1 volume, chiefly illustrations, 26 cm",741.5,,,Science fiction,English,
"Ross, John (John R. G.)",,person,author,"Collins, Mike, 1961 May 5-, author [person] ; Ross, John (John R. G.), author [person] ; Gray, Scott (W. Scott), author [person]",019766925,Monograph,Language material ; Still image ; Text,Volume,GBC052403,9781846533860,Mistress of chaos,,Doctor Who,,England,Tunbridge Wells,Panini Publishing,2020,,"1 volume (unpaged), illustrations, 30 cm",741.5,,"Doctor, (Fictitious character)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
"Ross, Jonathan",,person,author ; writer,"Hitch, Bryan, illustrator [person] ; Ross, Jonathan, author ; writer [person]",016795030,Monograph,Language material ; Still image ; Text,Volume,GBB474904,9781632151377,America's got powers,,,,United States of America,"Berkeley, California",Image Comics,2014,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YKL.2016.b.755,,Science fiction,English,
"Ross, Luke",,person,,"Fraction, Matt [person] ; Dodson, Terry [person] ; Silvestri, Marc [person] ; Ross, Luke [person] ; Deodato, Mike [person]",015433261,Monograph,Language material ; Text,Volume,GBA9B6029,9780785142348,"Utopia : Avengers, X-Men",Avengers/X-Men. Utopia,,,United States of America,New York,Marvel Worldwide,2010,,"1 volume (unpaged), chiefly colour illustrations, 26 cm",741.5973,YK.2010.b.6714,"Avengers (Fictitious characters)--Comic books, strips, etc ; Superhero comic books, strips, etc ; X-Men (Fictitious characters)--Comic books, strips, etc ; Comic books, strips, etc--United States",Comic or graphic novel ; Novel ; Science fiction,English,"'Contains material originally published in magazine form as Dark Avengers/Uncanny X-Men: Utopia and Exodus, Uncanny X-Men #513-514, Dark Avengers #7-8, Dark X-Men: The beginning #1-3, X-Men Legacy #226-227, Dark X-Men: The confession, and Dark reign: The cabal' -- indicia"
